"";"Grouping";"species";"labelit";"rank";"abundance";"proportion";"plower";"pupper";"accumfreq";"logabun";"rankfreq"
"353";"Hu";"ASV_116_Pelagomonadales_clade_B1_sp.";FALSE;37;614;0,2;0;0,4;95,4;2,8;23,4
"354";"Hu";"ASV_65_Chloroparvula_pacifica";FALSE;38;551;0,2;0;0,4;95,6;2,7;24,1
"355";"Hu";"ASV_60_Pycnococcaceae_X_sp.";FALSE;39;514;0,2;0,1;0,3;95,8;2,7;24,7
"356";"Hu";"ASV_152_Aureococcus_anophagefferens";FALSE;40;501;0,2;0;0,4;96;2,7;25,3
"357";"Hu";"ASV_235_Crustomastigaceae_X_sp.";FALSE;41;463;0,2;0,1;0,2;96,2;2,7;25,9
"358";"Hu";"ASV_205_Aureococcus_anophagefferens";FALSE;42;457;0,2;0;0,3;96,3;2,7;26,6
"359";"Hu";"ASV_78_Chloroparvula_pacifica";FALSE;43;455;0,2;0;0,3;96,5;2,7;27,2
"360";"Hu";"ASV_193_Aureococcus_anophagefferens";FALSE;44;422;0,2;0;0,3;96,7;2,6;27,8
"361";"Hu";"ASV_157_Pelagomonadales_clade_B1_sp.";FALSE;45;407;0,1;0;0,3;96,8;2,6;28,5
"362";"Hu";"ASV_86_Chloroparvula_pacifica";FALSE;46;374;0,1;0;0,3;96,9;2,6;29,1
"363";"Hu";"ASV_109_Non_Assigned";FALSE;47;359;0,1;0;0,2;97,1;2,6;29,7
"364";"Hu";"ASV_59_Picochlorum_sp.";FALSE;48;336;0,1;0;0,2;97,2;2,5;30,4
"365";"Hu";"ASV_359_Ostreococcus_lucimarinus";FALSE;49;329;0,1;0;0,2;97,3;2,5;31
"366";"Hu";"ASV_77_Minutocellus_polymorphus";FALSE;50;327;0,1;0;0,3;97,4;2,5;31,6
